x,y,z,longitude,latitude,speed,sound,timestamp,type,
-1.14613,8.76392,-3.01363,87.2922,23.5452,1.3,78.3869,1.5015e+12,smooth road,
-0.133972,8.02368,0.900711,87.2922,23.5452,1.3,78.3869,1.5015e+12,smooth road,
0.360977,10.5912,-0.226715,87.2922,23.5452,1.3,79.6765,1.5015e+12,smooth road,
-0.356247,7.98979,-0.621902,87.2922,23.5452,0.69,79.6765,1.5015e+12,smooth road,
0.229843,10.8036,-0.383057,87.2922,23.5452,0.69,79.6765,1.5015e+12,smooth road,
-0.850937,7.88332,1.05673,87.2922,23.5452,0.69,79.6765,1.5015e+12,smooth road,
2.53908,10.6961,4.12546,87.2922,23.5452,0.69,79.6765,1.5015e+12,smooth road,
-0.0918579,9.09151,1.88605,87.2922,23.5452,0.69,79.6765,1.5015e+12,smooth road,
-0.110031,9.5847,1.04163,87.2922,23.5452,0.69,79.6765,1.5015e+12,smooth road,
-1.03372,9.37144,3.65671,87.2922,23.5452,0.69,79.6765,1.5015e+12,smooth road,
0.64621,8.80278,3.19753,87.2922,23.5452,0.69,79.6765,1.5015e+12,smooth road,
1.51289,9.16701,2.49187,87.2922,23.5452,0.69,79.6765,1.5015e+12,smooth road,
0.914444,8.62349,4.1759,87.2922,23.5452,0.69,79.6765,1.5015e+12,smooth road,
1.13104,8.84921,1.99919,87.2922,23.5452,0.69,79.6765,1.5015e+12,smooth road,
0.281006,8.81252,2.17723,87.2922,23.5452,0.69,82.1225,1.5015e+12,smooth road,
0.781143,9.71715,1.07202,87.2922,23.5452,0.69,82.1225,1.5015e+12,smooth road,
0.17865,8.84705,2.55765,87.2922,23.5452,0.69,82.1225,1.5015e+12,smooth road,
0.411102,9.60489,-0.352829,87.2922,23.5452,0.69,82.1225,1.5015e+12,smooth road,
1.608,9.32834,0.915588,87.2922,23.5452,0.69,82.1225,1.5015e+12,smooth road,
1.05156,9.47636,1.20674,87.2922,23.5452,0.69,82.1225,1.5015e+12,smooth road,
0.623627,9.01178,1.42755,87.2922,23.5452,0.69,82.1225,1.5015e+12,smooth road,
0.739151,9.27563,0.407654,87.2922,23.5452,0.69,82.1225,1.5015e+12,smooth road,
0.36853,9.71658,1.36751,87.2922,23.5452,0.69,82.1225,1.5015e+12,smooth road,
0.396103,9.50253,0.514328,87.2922,23.5452,0.69,82.1225,1.5015e+12,smooth road,
0.743073,9.3026,1.18448,87.2922,23.5452,0.69,82.1225,1.5015e+12,smooth road,
0.716858,9.36804,0.249649,87.2922,23.5452,0.69,82.1225,1.5015e+12,smooth road,
0.865143,9.42088,1.56998,87.2922,23.5452,0.69,77.595,1.5015e+12,smooth road,
0.332001,9.36389,0.680588,87.2922,23.5452,0.69,77.595,1.5015e+12,smooth road,
0.243805,9.08385,1.03764,87.2922,23.5452,0.69,77.595,1.5015e+12,smooth road,
0.00138855,10.1039,0.759201,87.2922,23.5452,1.34,77.595,1.5015e+12,smooth road,
-0.11322,9.38831,0.354431,87.2922,23.5452,1.34,77.595,1.5015e+12,smooth road,
0.687531,9.14285,1.29092,87.2922,23.5452,1.34,77.595,1.5015e+12,smooth road,
0.506104,9.59764,1.16125,87.2922,23.5452,1.34,77.595,1.5015e+12,smooth road,
1.10284,9.18481,1.8795,87.2922,23.5452,1.34,77.595,1.5015e+12,smooth road,
0.365891,9.27185,0.546616,87.2922,23.5452,1.34,77.595,1.5015e+12,smooth road,
-0.0218658,9.21889,1.04128,87.2922,23.5452,1.34,77.595,1.5015e+12,smooth road,
-0.196609,9.75351,0.0554657,87.2922,23.5452,1.34,77.595,1.5015e+12,smooth road,
-0.116989,9.57317,0.494232,87.2922,23.5452,1.34,77.595,1.5015e+12,smooth road,
0.138718,9.40001,0.581238,87.2922,23.5452,1.34,76.8036,1.5015e+12,smooth road,
